fingerprint,seed,omitted_target_family,source_slice,evaluated_source_family,method,eligible,successes,asr,asr_query_auc,normalized_action_entropy,query_budget
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,modern_cnn,gradient_bc_groupdro_ppo_stochastic,361,18,0.04986150,0.01739612,0.95696374,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,modern_cnn,gradient_bc_only_stochastic,361,14,0.03878116,0.01828255,0.96594408,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,modern_cnn,ppo_only_stochastic,361,14,0.03878116,0.01872576,0.99668520,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,modern_cnn,random_action,361,14,0.03878116,0.01922438,0.99929315,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,modern_cnn,score_greedy,361,14,0.03878116,0.01839335,0.99968399,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,transformer,bandit_action,304,13,0.04276316,0.03424342,0.99430442,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,transformer,gradient_bc_groupdro_ppo_stochastic,304,37,0.12171053,0.06174342,0.95536004,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,transformer,gradient_bc_only_stochastic,304,34,0.11184211,0.05263158,0.96631579,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,transformer,ppo_only_stochastic,304,29,0.09539474,0.04305921,0.99620893,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,transformer,random_action,304,33,0.10855263,0.04759868,0.99941888,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,exact_source,transformer,score_greedy,304,30,0.09868421,0.04414474,0.99962698,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,modern_cnn,bandit_action,182,2,0.01098901,0.00681319,0.99141688,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,modern_cnn,gradient_bc_groupdro_ppo_stochastic,182,10,0.05494505,0.02307692,0.95691574,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,modern_cnn,gradient_bc_only_stochastic,182,10,0.05494505,0.01604396,0.96735178,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,modern_cnn,ppo_only_stochastic,182,5,0.02747253,0.01181319,0.99613503,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,modern_cnn,random_action,182,4,0.02197802,0.00846154,0.99869994,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,modern_cnn,score_greedy,182,6,0.03296703,0.01395604,0.99936988,50
fbd492204a61b0d57090f5c613aeb3edef2d7ab00f0ff28c5221fbbb97b080f7,29,classical_cnn,seen_family_new_instance,transformer,bandit_action,146,6,0.04109589,0.03136986,0.98512542,50
