fingerprint,seed,omitted_target_family,status,exact_source_asr,exact_source_auc,score_greedy_asr,score_greedy_auc,asr_gain_vs_score_greedy,auc_gain_vs_score_greedy,bc_train_accuracy,bc_validation_accuracy,bc_majority_accuracy,bc_validation_nll,bc_frequency_nll,bc_gate_passed,trained_episodes,source_calls,elapsed_seconds,source_evaluation_elapsed_seconds
cfe61e71ee6154f42e72385911f8f873044972173091135e2c8a5e4e5a826197,131,modern_cnn,source_complete,0.08118047,0.03391479,0.06589199,0.02863745,0.01528848,0.00527733,0.02878950,0.03075957,0.03075957,4.41166496,4.35056718,False,4165,199677,1641.58883568,333.67685574
a8e56d6c931f440a241380b2cec3d663bed88517a70301d963aa78b268e3c42c,149,modern_cnn,source_complete,0.07595653,0.03726675,0.06424725,0.02922657,0.01170928,0.00804018,0.03044980,0.02653502,0.02776921,4.41764498,4.35585968,False,4144,198850,1632.97892265,332.92248597
2f14d75cb3c4ee42e35353ffa542d2ef0587db703bec171a0d4323fce5b807c5,17,transformer,source_complete,0.04251590,0.02021496,0.03429573,0.01435635,0.00822017,0.00585861,0.03081180,0.02586207,0.03030303,4.39804840,4.35283153,False,4592,224149,1993.41086338,419.69501724
5e27c14e937a5d08dbc1f4080b164f9f97970598335280868c5f4496e6107a04,29,transformer,source_complete,0.04802603,0.02025978,0.03294072,0.01514732,0.01508532,0.00511245,0.02700748,0.02431932,0.03145652,4.38835335,4.32823912,False,4602,224199,1991.86448307,416.38343767
f97335ed1fb19099778753bb969a6d21b939acd0b003406d3b5b41756807988a,41,transformer,source_complete,0.03977584,0.01929498,0.03703579,0.01579169,0.00274006,0.00350329,0.02702485,0.02234787,0.03123317,4.38733816,4.31190065,False,4593,224611,2027.66116919,418.91194537
e88a7d30f50117d96bfd02a591d9142b3b38972f0d02c7756e026f4bd3deb25d,53,transformer,source_complete,0.04528598,0.02126151,0.03839080,0.01632074,0.00689518,0.00494077,0.02616949,0.02599107,0.02914151,4.41060066,4.35305252,False,4587,224321,2027.41312253,426.55441951
3171c24c357ce53bb36f2a98eb240e45eeadd705e67fd3e522cca3dff8cc2896,67,transformer,source_complete,0.04107080,0.01721715,0.03291069,0.01587746,0.00816011,0.00133970,0.03164862,0.03196830,0.03038309,4.39406872,4.34843182,False,4573,223474,2074.95221413,442.22087852
4130ba39e2738f7793e3aacd4a302d5987cd9bed5278bcabd79d242580d442c8,79,transformer,source_complete,0.04935102,0.01843089,0.03568077,0.01509463,0.01367025,0.00333626,0.03043689,0.02826087,0.03070652,4.40214252,4.34363828,False,4567,223374,2088.25691552,445.93750967
523b8b537d4fa79a5f74b71b9a1d3213624c7b103638d2424a3df7bd534beab9,97,transformer,source_complete,0.05215113,0.02084244,0.03426570,0.01438788,0.01788543,0.00645456,0.02775390,0.02702014,0.02880449,4.39142418,4.33232942,False,4569,223272,2016.37389002,426.87207493
a28078a491303c84bea9fb95ae4c106e4188a83a861049917132aa0a5ea65df3,113,transformer,source_complete,0.04113085,0.01785608,0.03703579,0.01616321,0.00409507,0.00169287,0.02948911,0.02665611,0.02612827,4.41306877,4.35352425,False,4560,223086,1999.51598601,420.91137783
9d008da9fbf8185ecb8c52eacf300648d0fc5c72b739b084dc6e015054165a72,131,transformer,source_complete,0.03706581,0.01639120,0.03429573,0.01565529,0.00277008,0.00073591,0.03225206,0.02909091,0.03064935,4.39727592,4.33818108,False,4585,224592,2016.06860109,431.12486940
73b15383a72b3544c990f71f2a53753aac4cbc128a729db37893dfb094190f06,149,transformer,source_complete,0.04254592,0.02016226,0.03706581,0.01405344,0.00548011,0.00610882,0.02789389,0.02817637,0.03208975,4.40680218,4.34304458,False,4587,224336,2086.52048786,435.25347621
