heldout_family,source_slice,source_family,victim_count,method,temperature,eligible,successes,asr,auc,asr_gain_vs_score,auc_gain_vs_score,frozen
modern_cnn,seen_family_new_instance,transformer,1,temperature_1p00,1,72,9,0.125,0.0495833333333,0,-0.01,True
modern_cnn,seen_family_new_instance,transformer,1,temperature_1p50,1.5,72,7,0.0972222222222,0.0481944444444,-0.0277777777778,-0.0113888888889,True
transformer,exact_source,classical_cnn,2,score_greedy,,185,7,0.0378378378378,0.0154054054054,0,0,True
transformer,exact_source,classical_cnn,2,temperature_0p25,0.25,185,5,0.027027027027,0.0112972972973,-0.0108108108108,-0.00410810810811,True
transformer,exact_source,classical_cnn,2,temperature_0p50,0.5,185,6,0.0324324324324,0.015027027027,-0.00540540540541,-0.000378378378378,True
transformer,exact_source,classical_cnn,2,temperature_0p75,0.75,185,7,0.0378378378378,0.0147567567568,0,-0.000648648648649,True
transformer,exact_source,classical_cnn,2,temperature_1p00,1,185,4,0.0216216216216,0.00897297297297,-0.0162162162162,-0.00643243243243,True
transformer,exact_source,classical_cnn,2,temperature_1p50,1.5,185,6,0.0324324324324,0.0124324324324,-0.00540540540541,-0.00297297297297,True
transformer,exact_source,modern_cnn,2,score_greedy,,180,5,0.0277777777778,0.0125,0,0,True
transformer,exact_source,modern_cnn,2,temperature_0p25,0.25,180,4,0.0222222222222,0.0117777777778,-0.00555555555556,-0.000722222222222,True
transformer,exact_source,modern_cnn,2,temperature_0p50,0.5,180,5,0.0277777777778,0.0116111111111,0,-0.000888888888889,True
transformer,exact_source,modern_cnn,2,temperature_0p75,0.75,180,4,0.0222222222222,0.0132222222222,-0.00555555555556,0.000722222222222,True
transformer,exact_source,modern_cnn,2,temperature_1p00,1,180,6,0.0333333333333,0.0148888888889,0.00555555555556,0.00238888888889,True
transformer,exact_source,modern_cnn,2,temperature_1p50,1.5,180,4,0.0222222222222,0.0101111111111,-0.00555555555556,-0.00238888888889,True
transformer,seen_family_new_instance,classical_cnn,1,score_greedy,,91,5,0.0549450549451,0.031978021978,0,0,True
transformer,seen_family_new_instance,classical_cnn,1,temperature_0p25,0.25,91,6,0.0659340659341,0.0261538461538,0.010989010989,-0.00582417582418,True
transformer,seen_family_new_instance,classical_cnn,1,temperature_0p50,0.5,91,5,0.0549450549451,0.0278021978022,0,-0.00417582417582,True
transformer,seen_family_new_instance,classical_cnn,1,temperature_0p75,0.75,91,7,0.0769230769231,0.0337362637363,0.021978021978,0.00175824175824,True
transformer,seen_family_new_instance,classical_cnn,1,temperature_1p00,1,91,5,0.0549450549451,0.0271428571429,0,-0.00483516483516,True
transformer,seen_family_new_instance,classical_cnn,1,temperature_1p50,1.5,91,5,0.0549450549451,0.0289010989011,0,-0.00307692307692,True
transformer,seen_family_new_instance,modern_cnn,1,score_greedy,,90,5,0.0555555555556,0.015,0,0,True
transformer,seen_family_new_instance,modern_cnn,1,temperature_0p25,0.25,90,3,0.0333333333333,0.0201111111111,-0.0222222222222,0.00511111111111,True
transformer,seen_family_new_instance,modern_cnn,1,temperature_0p50,0.5,90,4,0.0444444444444,0.0137777777778,-0.0111111111111,-0.00122222222222,True
transformer,seen_family_new_instance,modern_cnn,1,temperature_0p75,0.75,90,4,0.0444444444444,0.0191111111111,-0.0111111111111,0.00411111111111,True
transformer,seen_family_new_instance,modern_cnn,1,temperature_1p00,1,90,3,0.0333333333333,0.0172222222222,-0.0222222222222,0.00222222222222,True
transformer,seen_family_new_instance,modern_cnn,1,temperature_1p50,1.5,90,5,0.0555555555556,0.0185555555556,0,0.00355555555556,True
