temperature,temperature_label,mean_asr_gain,mean_auc_gain,minimum_fold_asr_gain,minimum_fold_auc_gain,folds_observed_nonnegative_both,qualifies,macro_asr,macro_auc,conditions_observed_nonnegative_both
0.25,T=0.25,-0.01003003003,-0.00366301658802,-0.0197222222222,-0.00660277777778,0,False,0.0543226743227,0.0262823694574,0
0.5,T=0.5,-0.00329345829346,-0.00242091102091,-0.00491791241791,-0.0058964046464,0,False,0.0610592460592,0.0275244750245,4
0.75,T=0.75,-0.00199624074624,-0.00120391751642,-0.00676100551101,-0.00497248415998,1,False,0.0623564636065,0.028741468529,4
1,T=1,-0.00428695178695,-0.00311754391754,-0.00822072072072,-0.00534128799129,0,False,0.0600657525658,0.0268278421278,1
1.5,T=1.5,-0.00114255739256,-0.00184624143374,-0.00554854304854,-0.00318041695542,0,False,0.0632101469601,0.0280991446116,4
