fingerprint,seed,omitted_target_family,source_slice,evaluated_source_family,method,eligible,successes,asr,asr_query_auc,normalized_action_entropy,query_budget
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,exact_source,transformer,bandit_action,150,5,0.0333333333333,0.0248666666667,0.988012539099,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,exact_source,transformer,fixed_action,150,0,0,0,-0,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,exact_source,transformer,random_action,150,12,0.08,0.0388,0.998648049613,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,exact_source,transformer,score_greedy,150,14,0.0933333333333,0.0444,0.999101152065,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,exact_source,transformer,soft_gradient_bc_action_conditioned_groupdro_ppo,150,2,0.0133333333333,0.0125333333333,0.16616608878,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,exact_source,transformer,soft_gradient_bc_action_conditioned_groupdro_ppo_stochastic,150,13,0.0866666666667,0.0423333333333,0.966072146493,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,classical_cnn,bandit_action,91,5,0.0549450549451,0.0427472527473,0.980140995278,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,classical_cnn,fixed_action,91,0,0,0,-0,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,classical_cnn,random_action,91,5,0.0549450549451,0.0271428571429,0.997271183424,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,classical_cnn,score_greedy,91,5,0.0549450549451,0.031978021978,0.998533354288,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,classical_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo,91,0,0,0,0.165503689247,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,classical_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo_stochastic,91,6,0.0659340659341,0.0285714285714,0.96178715415,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,transformer,bandit_action,72,3,0.0416666666667,0.03375,0.975738734136,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,transformer,fixed_action,72,0,0,0,-0,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,transformer,random_action,72,9,0.125,0.05375,0.99719772509,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,transformer,score_greedy,72,9,0.125,0.0595833333333,0.998276489412,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,transformer,soft_gradient_bc_action_conditioned_groupdro_ppo,72,2,0.0277777777778,0.0266666666667,0.165798243662,50
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,seen_family_new_instance,transformer,soft_gradient_bc_action_conditioned_groupdro_ppo_stochastic,72,9,0.125,0.0495833333333,0.963864955512,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,classical_cnn,bandit_action,185,3,0.0162162162162,0.0134594594595,0.99033698534,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,classical_cnn,fixed_action,185,0,0,0,-0,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,classical_cnn,random_action,185,7,0.0378378378378,0.0172432432432,0.998849957795,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,classical_cnn,score_greedy,185,7,0.0378378378378,0.0154054054054,0.999410602875,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,classical_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo,185,1,0.00540540540541,0.00513513513514,-0,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,classical_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo_stochastic,185,4,0.0216216216216,0.00897297297297,0.93336659288,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,modern_cnn,bandit_action,180,1,0.00555555555556,0.00461111111111,0.990743212975,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,modern_cnn,fixed_action,180,0,0,0,-0,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,modern_cnn,random_action,180,5,0.0277777777778,0.0122777777778,0.998940883145,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,modern_cnn,score_greedy,180,5,0.0277777777778,0.0125,0.999404998144,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,modern_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo,180,1,0.00555555555556,0.00505555555556,-0,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,exact_source,modern_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo_stochastic,180,6,0.0333333333333,0.0148888888889,0.936103956547,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,classical_cnn,bandit_action,91,5,0.0549450549451,0.0427472527473,0.980140995278,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,classical_cnn,fixed_action,91,0,0,0,-0,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,classical_cnn,random_action,91,5,0.0549450549451,0.0271428571429,0.997271183424,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,classical_cnn,score_greedy,91,5,0.0549450549451,0.031978021978,0.998533354288,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,classical_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo,91,0,0,0,-0,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,classical_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo_stochastic,91,5,0.0549450549451,0.0271428571429,0.932946892141,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,modern_cnn,bandit_action,90,1,0.0111111111111,0.009,0.979783620777,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,modern_cnn,fixed_action,90,0,0,0,-0,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,modern_cnn,random_action,90,3,0.0333333333333,0.013,0.997327717276,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,modern_cnn,score_greedy,90,5,0.0555555555556,0.015,0.998389293937,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,modern_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo,90,0,0,0,-0,50
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,seen_family_new_instance,modern_cnn,soft_gradient_bc_action_conditioned_groupdro_ppo_stochastic,90,3,0.0333333333333,0.0172222222222,0.932759971,50
