fingerprint,seed,omitted_target_family,block_index,episode_offset,scheduled_episodes,trained_episodes,eligible_episodes,successful_episodes,mean_episode_return,mean_margin_reduction,source_calls,elapsed_seconds,ppo_loss,ppo_policy_loss,ppo_value_loss,ppo_entropy
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,9,450,50,41,41,5,-0.171267797308,0.0806022289835,1845,7.452407135,-0.525348722935,-0.76175904274,0.473703324795,4.41375112534
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,10,500,50,39,39,1,-0.454353091119,0.0541221196025,1954,7.784967695,0.0265308003873,-0.0213280841708,0.0966034531593,4.42841911316
33054f9db786f8e26fd0da4fc7fbcfb21d7cab8542676987d1c9bf8ac9c2100e,17,modern_cnn,11,550,50,46,46,3,-0.317774260477,0.0788658003603,2190,8.765550096,-0.089355237782,-0.258117437363,0.338407963514,4.41782474518
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,0,0,50,45,45,3,-0.251715613094,0.0523129193299,2177,9.25370265701,-0.123843625188,-0.256309896708,0.265836179256,4.51818752289
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,1,50,50,44,44,0,-0.50857733665,0.0253453251734,2206,9.183949,0.0131900021806,-0.00284316390753,0.0329702571034,4.51962757111
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,2,100,50,46,46,2,-0.399110363171,0.0195367905833,2220,9.20015246799,-0.300119966269,-0.396775633097,0.194204702973,4.46688461304
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,3,150,50,46,46,2,-0.533220596669,0.0974434085065,2296,9.44728264601,0.0474217422307,-0.0191694609821,0.134064808488,4.41200876236
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,4,200,50,48,48,2,-0.357258039356,0.0414883302575,2367,9.953547406,-0.0270781945437,-0.101011745632,0.148730069399,4.3148393631
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,5,250,50,45,45,1,-0.394434735612,0.0303385991982,2220,9.302679093,-0.0872917845845,-0.159795030951,0.145874544978,4.34022808075
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,6,300,50,44,44,1,-0.405010074306,0.0449926594158,2177,9.112270572,-0.0593685694039,-0.129243016243,0.140603139997,4.2712225914
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,7,350,50,44,44,1,-0.472520762996,0.0387424404085,2195,9.17421403401,-0.0041147172451,-0.0326680354774,0.0579757764935,4.34569835663
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,8,400,50,45,45,2,-0.29397307564,0.0582935421838,2227,9.26794564699,-0.000951751600951,-0.076992161572,0.152950331569,4.34755802155
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,9,450,50,47,47,3,-0.363388415696,0.0696025980972,2276,9.71608666799,-0.109303459525,-0.218652039766,0.219550520182,4.26681900024
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,10,500,50,47,47,0,-0.53015314481,0.0386708479395,2353,9.90030788499,0.00629772758111,-0.0082772122696,0.0299915652722,4.20842885971
de7dae352025eeb936afe4869281fb218759fbf934ffbe4c272fa11b9032aac5,17,transformer,11,550,50,48,48,2,-0.424655640683,0.0523186855292,2350,9.81821226599,0.0222088564187,-0.123296201229,0.291862666607,4.26275634766
