filename,bytes,sha256
cifar10_rtx_phase2_screen.log,1277707,221f3f6c99858c1f06f2569347c3880cfa4a38b5f4acd248a23068c94d1309fe
cifar10_rtx_phase2_screen_attempt_modern_cnn_json_mismatch.log,9295,ae1663d5d6b3c20fe4444e036f79d48c188c3faa1cf7caa2ebde82a73758dc87
cifar10_rtx_phase2_screen_attempt_source_json_mismatch.log,7598,44f21a0a54d013910fa7e64816d3052b9ae1337f4c99be82e37232afbffbc65a
cifar10_rtx_phase2_screen_attempt_transformer_json_mismatch.log,8619,66d4aed64477ce82d2bcc55a9ed64e06c008b07ebb33c41e88fb72b753774678
